,breed_id,Breed,breed_rank,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,PopularityUS2017
59,49,Soft Coated Wheaten Terriers,49,Wheaten Terrier,Terrier,Terrier,18.0,"Affectionate, Energetic, Faithful, Intelligent, Playful, Spirited",900.0,40.0,4.0,49.0
60,50,Bloodhounds,50,Bloodhound,Hound,Scenthound,46.0,"Affectionate, Even-tempered, Gentle, Stubborn, Independent",1000.0,74.0,1.0,50.0
61,51,Bullmastiffs,51,Bullmastiff,Working,Guardian,55.0,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",1350.0,69.0,6.0,51.0
62,52,Spaniels (English Cocker),52,English Cocker Spaniel,Sporting,Gun,14.0,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",1050.0,18.0,4.0,52.0
63,53,Papillons,53,Papillon,Toy,Companion,5.0,"Alert, Energetic, Friendly, Happy, Hardy, Intelligent",500.0,8.0,3.0,53.0
64,54,Portuguese Water Dogs,54,Portuguese Water Dog,Working,Gun,22.0,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",2650.0,,4.0,54.0
65,55,Airedale Terriers,55,Airedale Terrier,Terrier,Terrier,26.0,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",700.0,29.0,4.0,55.0
66,56,Australian Cattle Dogs,56,Australian Cattle Dog/Blue Heeler,Herding,Herding,21.0,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600.0,10.0,6.0,56.0
67,56,Australian Cattle Dogs,56,Cattle Dog,Herding,Herding,21.0,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600.0,10.0,6.0,56.0
68,57,Samoyeds,57,Samoyed,Working,Northern,26.0,"Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn",1350.0,33.0,4.0,57.0
69,58,Scottish Terriers,58,Scottish Terrier Scottie,Terrier,Terrier,9.0,"Independent, Fiesty, Alert, Playful, Quick, Self-assured",900.0,65.0,3.0,58.0
70,59,Alaskan Malamutes,59,Alaskan Malamute,Working,Northern,40.0,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1350.0,50.0,5.0,59.0
71,60,Bull Terriers,60,Bull Terrier,Terrier,Terrier,28.0,"Active, Keen, Protective, Sweet-tempered, Trainable",1350.0,66.0,6.0,60.0
72,61,Whippets,61,Whippet,Hound,Sight,16.0,"Affectionate, Friendly, Gentle, Intelligent, Lively, Quiet",1000.0,51.0,3.0,61.0
73,62,Pointers (German Wirehaired),62,German Wirehaired Pointer,Sporting,Gun,30.0,"Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive",800.0,44.0,6.0,62.0
74,63,Dalmatians,63,Dalmatian,Non Sporting,Companion,25.0,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",800.0,39.0,3.0,63.0
75,64,Chinese Shar-Pei,64,Shar Pei,Non Sporting,Northern,22.0,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",1100.0,51.0,3.0,64.0
76,65,Wirehaired Pointing Griffons,65,Wire-haired Pointing Griffon,Sporting,Gun,25.0,"Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent",700.0,46.0,5.0,65.0
77,66,Great Pyrenees,66,Great Pyrenees,Working,Guardian,45.0,"Affectionate, Confident, Fearless, Gentle, Patient, Strong-willed",800.0,64.0,6.0,66.0
78,67,Dogues de Bordeaux,67,Dogue de Bordeaux,Working,Guardian,60.0,"Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant",1150.0,,6.0,67.0
79,68,Cardigan Welsh Corgis,68,Corgi,Herding,Herding,13.0,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0,68.0
80,68,Cardigan Welsh Corgis,68,Welsh Corgi,Herding,Herding,13.0,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0,68.0
81,68,Cardigan Welsh Corgis,68,Cardigan,Herding,Herding,16.0,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0,68.0
82,68,Cardigan Welsh Corgis,68,Pembroke,Herding,Herding,12.0,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100.0,26.0,4.0,68.0
83,69,Cairn Terriers,69,Cairn Terrier,Terrier,Terrier,7.0,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",850.0,35.0,4.0,69.0
84,70,Old English Sheepdogs,70,Old English Sheepdog,Herding,Herding,39.0,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350.0,63.0,4.0,70.0
85,70,Old English Sheepdogs,70,Sheep Dog,Herding,Herding,39.0,"Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective",1350.0,63.0,4.0,70.0
86,71,Miniature Pinschers,71,Miniature Pinscher,Toy,Companion,5.0,"Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent",500.0,37.0,3.0,71.0
87,72,Setters (Irish),72,Irish Setter,Sporting,Gun,32.0,"Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent",900.0,35.0,3.0,72.0
88,73,Irish Wolfhounds,73,Irish Wolfhound,Hound,Scenthound,55.0,"Dignified, Generous, Loyal, Patient, Sweet-tempered, Thoughtful, Intelligent",1900.0,41.0,3.0,73.0
89,74,Italian Greyhounds,74,Italian Greyhound,Toy,Companion,4.0,"Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious",900.0,60.0,3.0,74.0
90,75,Greater Swiss Mountain Dogs,75,Greater Swiss Mountain Dog,Working,Guardian,60.0,"Alert, Devoted, Fearless, Good-natured, Protective, Self-confident",2250.0,,5.0,75.0
91,76,Chow Chows,76,Chow Chow,Non Sporting,Northern,26.0,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",700.0,76.0,3.0,76.0
92,77,Lhasa Apsos,77,Lhasa Apso,Non Sporting,Companion,6.0,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",600.0,68.0,3.0,77.0
93,78,Russell Terriers,78,Jack Russell Terrier,Terrier,Terrier,7.0,"Alert, Cheerful, Courageous, Energetic, Independent",850.0,,4.0,78.0
94,79,Chinese Crested,79,Chinese Crested Dog,Toy,Companion,4.0,"Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered",900.0,61.0,2.0,79.0
95,80,Giant Schnauzers,80,Giant Schnauzer,Working,Companion,38.0,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed",1250.0,28.0,6.0,80.0
96,80,Giant Schnauzers,80,Giant Schnauzer,Working,Herding,31.0,"Devoted, Good-natured, Intelligent, Lively, Playful, Trainable",1250.0,,,80.0
