,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog
109,Afghan Hound,Sporting,Sight,28.0,"Aloof, Clownish, Dignified, Happy, Independent",2250.0,79.0,1.0
110,Brussels Griffon,Toy,Companion,4.0,"Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful",900.0,,3.0
111,English Setter,Sporting,Gun,30.0,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",500.0,37.0,3.0
112,Setter,Sporting,Gun,30.0,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",500.0,37.0,3.0
113,Flat-coated Retriever,Sporting,Gun,30.0,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",1100.0,18.0,5.0
114,Rat Terrier,Terrier,Terrier,11.0,"Affectioante, Alert, Inquisitive, Lively, Loving",400.0,,3.0
115,Boykin Spaniel,Sporting,Gun,15.0,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",900.0,,3.0
116,Wire Fox Terrier,Terrier,Terrier,7.0,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",900.0,51.0,3.0
117,Wirehaired Terrier,Terrier,Terrier,7.0,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",900.0,51.0,3.0
118,Leonberger,Working,Guardian,64.0,"Adaptable, Companionable, Fearless, Loving, Loyal, Obedient",1750.0,,5.0
119,Tibetan Terrier,Non Sporting,Companion,10.0,"Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent",1600.0,62.0,3.0
120,Borzoi,Hound,Sight,41.0,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",1100.0,75.0,1.0
121,Belgian Shepherd Tervuren,Herding,Herding,34.0,"Alert, Attentive, Energetic, Intelligent, Loyal, Protective",1350.0,14.0,6.0
122,Gordon Setter,Sporting,Gun,31.0,"Alert, Confident, Eager, Fearless, Loyal, Intelligent",900.0,34.0,4.0
123,Norwich Terrier,Terrier,Terrier,5.0,"Affectionate, Energetic, Hardy, Intelligent, Sensitive",1700.0,38.0,3.0
124,Silky Terrier,Toy,Terrier,5.0,"Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent",700.0,37.0,3.0
125,Neapolitan Mastiff,Working,Guardian,60.0,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",1750.0,,6.0
